ETF COMPLEX POSITION,VEGA RISK month,IV % year,Dividend Yield,Dividend Yield Median,IV O_S,IV DIA year,IV median 6 m,IV ATM,HV 20,HV 50,HV 100,HV DIA,RSI 14,CURRENT PRICE,SMA 20,SMA 100,WEIGHT PCR SIGNAL,WEIGHT PCR sparkline,O_S WEIGHT PCR SIGNAL,O_S Plot Link,TREND,MAX PAIN month,Horizontal scew (IV 1 month - 2 month)
IJR,0.01,3.846153846,1.5000,1.507,0.4,1,0.208749775,0.16985723,0.1918434275,0.1900813572,0.2107182177,1,64.31037769,"=GOOGLEFINANCE(A12,""price"")",100.5904995,96.49119965,UP,=sparkline(sparkline!B11:W11),Empty,Empty,Strong Uptrend,97.0,-0.0105
INDA,0.01,5.631868132,0.3710,0.0,0.02,1,0.17461959,0.13493332,0.0882622605,0.0914371638,0.1145186987,1,70.10145239,"=GOOGLEFINANCE(A13,""price"")",43.92099991,41.27889992,UP,=sparkline(sparkline!B12:W12),Empty,Empty,Strong Uptrend,33.0,-0.0135
IWM,0.01,3.296703297,1.4300,1.3605,0.11,1,0.22541801,0.17938194,0.1859698605,0.1896051222,0.216321918,1,63.93707522,"=GOOGLEFINANCE(A14,""price"")",189.4130005,180.1891994,0,=sparkline(sparkline!B13:W13), (  3%/  4%).........NOW ON A SELL,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=IWM_W.txt,Strong Uptrend,189.0,-0.002
IXC,0.02,2.472527473,4.6220,3.81,0.0,1,0.28097879,0.22541801,0.2151789525,0.2202746698,0.2423084879,1,66.05452207,"=GOOGLEFINANCE(A15,""price"")",37.39599953,37.5482999,UP,=sparkline(sparkline!B14:W14),Empty,Empty,Uptrend,33.0,-0.0051
IYR,0.02,7.005494505,2.6740,2.742,0.31,1,0.21748076,0.16826978,0.170492213,0.1730321344,0.1916846821,1,67.15343375,"=GOOGLEFINANCE(A16,""price"")",87.55550079,84.53360016,UP,=sparkline(sparkline!B15:W15),Empty,Empty,Strong Uptrend,87.5,-0.0032
QQQ,0.02,9.203296703,0.5840,0.684,0.41,1,0.23653017,0.18255684,0.16477739,0.1650631318,0.1968280223,1,59.36814348,"=GOOGLEFINANCE(A17,""price"")",372.0869995,334.6217999,0,=sparkline(sparkline!B16:W16), ( 14%/ 23%).........NOW ON A SELL,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=QQQ_W.txt,Strong Uptrend,380.0,-0.0038
REMX,0.04,7.28021978,4.0900,3.8,0.05,1,0.33971447,0.24129252,0.193034018,0.2061146102,0.2468644721,1,39.02416913,"=GOOGLEFINANCE(A18,""price"")",84.36300011,81.93679993,DOWN,=sparkline(sparkline!B17:W17),Empty,Empty,Downtrend,85.0,-0.0292
SLV,0.01,1.373626374,Empty,Empty,0.17,1,0.283359965,0.22700546,0.2330377765,0.2288469056,0.2483884243,1,55.29734584,"=GOOGLEFINANCE(A19,""price"")",21.7625,21.7427,0,=sparkline(sparkline!B18:W18), ( 97%/ 99%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=SLV_W.txt,Strong Uptrend,22.5,-0.0138
SPY,0.01,5.769230769,1.4740,1.536,0.35,1,0.17779449,0.11747136,0.1086610065,0.1146139482,0.1451088766,1,70.29265753,"=GOOGLEFINANCE(A20,""price"")",444.8145004,418.3970999,0,=sparkline(sparkline!B19:W19), (  2%/  5%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=SPY_W.txt,Strong Uptrend,451.0,0.0
URA,0.03,15.93406593,4.3200,6.172499999999999,0.11,1,0.32860231,0.3095529,0.2812169075,0.256055812,0.2671679672,2,52.79868488,"=GOOGLEFINANCE(A21,""price"")",21.5874999,20.47939995,DOWN,=sparkline(sparkline!B20:W20),Empty,Empty,Strong Uptrend,13.0,-0.0329
USO,0.0,0.5494505495,Empty,Empty,0.07,1,0.364319955,0.2968533,0.3398732155,0.3242844478,0.3403653232,1,67.69623548,"=GOOGLEFINANCE(A22,""price"")",65.91650009,65.28190018,0,=sparkline(sparkline!B21:W21), ( 25%/ 21%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=USO_W.txt,Strong Uptrend,68.0,-0.0291
VNQ,0.02,5.357142857,4.0750,3.7385,0.34,1,0.21906821,0.16668233,0.1721590375,0.1764292808,0.1956215604,1,66.00571446,"=GOOGLEFINANCE(A23,""price"")",84.7239994,82.46399994,UP,=sparkline(sparkline!B22:W22),Empty,Empty,Strong Uptrend,86.0,-0.0029
XLB,0.02,5.494505495,2.0390,2.1215,0.07,1,0.2095435,0.15874508,0.16572986,0.1630946932,0.1853190043,1,63.11146683,"=GOOGLEFINANCE(A24,""price"")",82.49999962,79.89140007,0,=sparkline(sparkline!B23:W23), (  2%/  3%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XLB_W.txt,Strong Uptrend,50.0,-0.002
XLE,0.01,1.923076923,3.9740,3.6315,0.02,1,0.28097879,0.21589331,0.2492297735,0.2540556242,0.2762640607,1,66.10263931,"=GOOGLEFINANCE(A25,""price"")",81.73050041,81.63380028,0,=sparkline(sparkline!B24:W24), ( 11%/ 27%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XLE_W.txt,Strong Uptrend,82.5,-0.013
XLF,0.01,1.923076923,2.0260,2.016,0.02,1,0.20160625,0.14445802,0.14469614,0.1596975494,0.1985900928,1,75.1218383,"=GOOGLEFINANCE(A26,""price"")",34.11599998,32.93080002,0,=sparkline(sparkline!B25:W25), ( 94%/ 97%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XLF_W.txt,Strong Uptrend,36.0,0.0024
XLI,0.01,5.082417582,1.5170,1.5785,0.2,1,0.18890664,0.13969567,0.1399337865,0.1430293154,0.1616818618,1,68.79666021,"=GOOGLEFINANCE(A27,""price"")",107.7790001,101.5762003,0,=sparkline(sparkline!B26:W26), (  0%/  0%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XLI_W.txt,Strong Uptrend,109.5,-0.0057
XLP,0.01,4.532967033,2.3420,2.4505,0.23,1,0.137314495,0.09842195,0.1065973175,0.1008348738,0.1139154682,1,66.81681877,"=GOOGLEFINANCE(A28,""price"")",74.2625,74.37709984,UP,=sparkline(sparkline!B27:W27),Empty,Empty,Uptrend,74.0,-0.0128
XLU,0.02,5.769230769,3.0290,2.9505,0.43,1,0.18731919,0.14763292,0.1573163745,0.1566813934,0.1766673978,1,61.66914468,"=GOOGLEFINANCE(A29,""price"")",66.20299988,66.8872002,0,=sparkline(sparkline!B28:W28), (  7%/ 16%).........NOW ON A SELL,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XLU_W.txt,Uptrend,65.5,-0.001
XLV,0.02,8.241758242,1.5020,1.495,0.23,1,0.14922037,0.12223371,0.121122495,0.120424017,0.1304725798,1,67.91471799,"=GOOGLEFINANCE(A30,""price"")",131.6850014,130.7016006,UP,=sparkline(sparkline!B29:W29),Empty,Empty,Strong Uptrend,135.0,-0.0059
XOP,0.02,1.648351648,2.6980,1.9435,0.01,1,0.36987603,0.28097879,0.316299569,0.3226334974,0.3464293848,1,67.68513243,"=GOOGLEFINANCE(A31,""price"")",130.3729992,126.5889999,0,=sparkline(sparkline!B30:W30), (  2%/ 11%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=XOP_W.txt,Strong Uptrend,132.0,-0.0184
EWW,0.0,0.0,Empty,Empty,0.23,0,0.0,0.0,0.0,0.0,0.0,0,53.2411871,"=GOOGLEFINANCE(A32,""price"")",63.05900021,60.63139988,DOWN,=sparkline(sparkline!B31:W31),Empty,Empty,Strong Uptrend,63.0,0.0
EWA,0.0,0.0,Empty,Empty,0.36,0,0.0,0.0,0.0,0.0,0.0,0,56.93752315,"=GOOGLEFINANCE(A33,""price"")",22.69449997,22.77769993,DOWN,=sparkline(sparkline!B32:W32),Empty,Empty,Uptrend,23.0,0.0
EWJ,0.0,0.0,Empty,Empty,0.84,0,0.0,0.0,0.0,0.0,0.0,0,53.13548136,"=GOOGLEFINANCE(A34,""price"")",62.05249996,59.77010002,UP,=sparkline(sparkline!B33:W33),Empty,Empty,Strong Uptrend,60.0,0.0
EWY,0.0,0.0,Empty,Empty,0.27,0,0.0,0.0,0.0,0.0,0.0,0,60.81175102,"=GOOGLEFINANCE(A35,""price"")",65.09000015,62.32950016,DOWN,=sparkline(sparkline!B34:W34),Empty,Empty,Strong Uptrend,67.0,0.0
EWG,0.0,0.0,Empty,Empty,0.54,0,0.0,0.0,0.0,0.0,0.0,0,54.4076419,"=GOOGLEFINANCE(A36,""price"")",28.54200001,28.42379997,DOWN,=sparkline(sparkline!B35:W35),Empty,Empty,Strong Uptrend,29.0,0.0
EWU,0.0,0.0,Empty,Empty,0.49,0,0.0,0.0,0.0,0.0,0.0,0,61.82649841,"=GOOGLEFINANCE(A37,""price"")",32.34299946,32.5790999,UP,=sparkline(sparkline!B36:W36),Empty,Empty,Uptrend,24.0,0.0
EWC,0.0,0.0,Empty,Empty,0.44,0,0.0,0.0,0.0,0.0,0.0,0,65.19929965,"=GOOGLEFINANCE(A38,""price"")",34.98300018,34.41669998,UP,=sparkline(sparkline!B37:W37),Empty,Empty,Strong Uptrend,26.0,0.0
DIA,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A39,""price"")",0.0,0.0,0,=sparkline(sparkline!B38:W38),0,0,0,0.0,0.0
TLT,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A40,""price"")",0.0,0.0,0,=sparkline(sparkline!B39:W39),0,0,0,0.0,0.0
UNG,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A41,""price"")",0.0,0.0,0,=sparkline(sparkline!B40:W40),0,0,0,0.0,0.0
JJC,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A42,""price"")",0.0,0.0,0,=sparkline(sparkline!B41:W41),0,0,0,0.0,0.0
DBA,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A43,""price"")",0.0,0.0,0,=sparkline(sparkline!B42:W42),0,0,0,0.0,0.0
HYG,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A44,""price"")",0.0,0.0,0,=sparkline(sparkline!B43:W43),0,0,0,0.0,0.0
ARGT,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A45,""price"")",0.0,0.0,0,=sparkline(sparkline!B44:W44),0,0,0,0.0,0.0
EWA,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A46,""price"")",0.0,0.0,0,=sparkline(sparkline!B45:W45),0,0,0,0.0,0.0
VGK,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A47,""price"")",0.0,0.0,0,=sparkline(sparkline!B46:W46),0,0,0,0.0,0.0
ECH,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A48,""price"")",0.0,0.0,0,=sparkline(sparkline!B47:W47),0,0,0,0.0,0.0
MCHI,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A49,""price"")",0.0,0.0,0,=sparkline(sparkline!B48:W48),0,0,0,0.0,0.0
EWQ,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A50,""price"")",0.0,0.0,0,=sparkline(sparkline!B49:W49),0,0,0,0.0,0.0
EWG,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A51,""price"")",0.0,0.0,0,=sparkline(sparkline!B50:W50),0,0,0,0.0,0.0
EWJ,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A52,""price"")",0.0,0.0,0,=sparkline(sparkline!B51:W51),0,0,0,0.0,0.0
EWT,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A53,""price"")",0.0,0.0,0,=sparkline(sparkline!B52:W52),0,0,0,0.0,0.0
EWU,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A54,""price"")",0.0,0.0,0,=sparkline(sparkline!B53:W53),0,0,0,0.0,0.0
TUR,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A55,""price"")",0.0,0.0,0,=sparkline(sparkline!B54:W54),0,0,0,0.0,0.0
XLC,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A56,""price"")",0.0,0.0,0,=sparkline(sparkline!B55:W55),0,0,0,0.0,0.0
XLK,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A57,""price"")",0.0,0.0,0,=sparkline(sparkline!B56:W56),0,0,0,0.0,0.0
XLY,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A58,""price"")",0.0,0.0,0,=sparkline(sparkline!B57:W57),0,0,0,0.0,0.0
XRT,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A59,""price"")",0.0,0.0,0,=sparkline(sparkline!B58:W58),0,0,0,0.0,0.0
XME,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A60,""price"")",0.0,0.0,0,=sparkline(sparkline!B59:W59),0,0,0,0.0,0.0
XHB,0.0,0.0,Empty,Empty,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,"=GOOGLEFINANCE(A61,""price"")",0.0,0.0,0,=sparkline(sparkline!B60:W60),0,0,0,0.0,0.0
